REF_DATE,GEO,Products_and_product_groups,VALUE,Percent_Change
Jan-14,Alberta,Energy,166.3,9.6
Feb-14,Alberta,All-items,130.8,2.4
Feb-14,Alberta,Food,133.2,2.1
Feb-14,Alberta,Shelter,160.7,4.4
Feb-14,Alberta,"Household operations, furnishings and equipment",113.9,1.7
Feb-14,Alberta,Clothing and footwear,90.5,0.1
Feb-14,Alberta,Transportation,129.8,1.7
Feb-14,Alberta,Health and personal care,127.5,-0.1
Feb-14,Alberta,"Recreation, education and reading",107.4,2.5
Feb-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",142.3,2.4
Feb-14,Alberta,Energy,168.6,4.5
Mar-14,Alberta,All-items,133.1,3.9
Mar-14,Alberta,Food,134.1,3.2
Mar-14,Alberta,Shelter,166.5,8.3
Mar-14,Alberta,"Household operations, furnishings and equipment",114.4,1.9
Mar-14,Alberta,Clothing and footwear,96.2,0.1
Mar-14,Alberta,Transportation,131.8,3.5
Mar-14,Alberta,Health and personal care,127.3,0.3
Mar-14,Alberta,"Recreation, education and reading",106.9,1.8
Mar-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.1,3.4
Mar-14,Alberta,Energy,194.5,20.7
Apr-14,Alberta,All-items,132.2,2.7
Apr-14,Alberta,Food,133.3,2.2
Apr-14,Alberta,Shelter,161.5,3.3
Apr-14,Alberta,"Household operations, furnishings and equipment",114.9,2
Apr-14,Alberta,Clothing and footwear,97.2,1.3
Apr-14,Alberta,Transportation,132.1,4.2
Apr-14,Alberta,Health and personal care,128.4,0.3
Apr-14,Alberta,"Recreation, education and reading",107.3,1.8
Apr-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.6,3.6
Apr-14,Alberta,Energy,175.9,5.6
May-14,Alberta,All-items,132.8,2.5
May-14,Alberta,Food,134.6,2.4
May-14,Alberta,Shelter,162.3,3.8
May-14,Alberta,"Household operations, furnishings and equipment",115.1,2
May-14,Alberta,Clothing and footwear,95.4,0.6
May-14,Alberta,Transportation,132.2,2.6
May-14,Alberta,Health and personal care,128.9,1.3
May-14,Alberta,"Recreation, education and reading",109.4,1.9
May-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.8,3.4
May-14,Alberta,Energy,177.6,3.7
Jun-14,Alberta,All-items,132.3,1.9
Jun-14,Alberta,Food,134.6,3.8
Jun-14,Alberta,Shelter,159.2,1.3
Jun-14,Alberta,"Household operations, furnishings and equipment",115.3,2
Jun-14,Alberta,Clothing and footwear,94.2,1.4
Jun-14,Alberta,Transportation,132.9,1.3
Jun-14,Alberta,Health and personal care,128.4,0.9
Jun-14,Alberta,"Recreation, education and reading",110.3,2.3
Jun-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.5,3.4
Jun-14,Alberta,Energy,168.8,-6.4
Jul-14,Alberta,All-items,132.9,2.5
Jul-14,Alberta,Food,135,2.7
Jul-14,Alberta,Shelter,163.4,4.1
Jul-14,Alberta,"Household operations, furnishings and equipment",115.3,1.8
Jul-14,Alberta,Clothing and footwear,92.6,0.5
Jul-14,Alberta,Transportation,131.3,2.2
Jul-14,Alberta,Health and personal care,128.8,1.7
Jul-14,Alberta,"Recreation, education and reading",110.3,1.1
Jul-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.6,3.5
Jul-14,Alberta,Energy,179.8,3.5
Aug-14,Alberta,All-items,132.7,2.6
Aug-14,Alberta,Food,135.1,2.2
Aug-14,Alberta,Shelter,162.2,3.6
Aug-14,Alberta,"Household operations, furnishings and equipment",116,2.7
Aug-14,Alberta,Clothing and footwear,92.5,0.2
Aug-14,Alberta,Transportation,131.3,3.1
Aug-14,Alberta,Health and personal care,128.2,1.1
Aug-14,Alberta,"Recreation, education and reading",110.8,1.6
Aug-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.6,3.4
Aug-14,Alberta,Energy,173,2.7
Sep-14,Alberta,All-items,132.9,2.6
Sep-14,Alberta,Food,135,2.7
Sep-14,Alberta,Shelter,162.6,3.4
Sep-14,Alberta,"Household operations, furnishings and equipment",116.4,3.2
Sep-14,Alberta,Clothing and footwear,96.4,0.7
Sep-14,Alberta,Transportation,130.2,2
Sep-14,Alberta,Health and personal care,128.3,1.1
Sep-14,Alberta,"Recreation, education and reading",110.2,2.6
Sep-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.8,3.1
Sep-14,Alberta,Energy,171.8,1.4
Oct-14,Alberta,All-items,133.2,3
Oct-14,Alberta,Food,134.8,3.3
Oct-14,Alberta,Shelter,164.6,5
Oct-14,Alberta,"Household operations, furnishings and equipment",117,3.1
Oct-14,Alberta,Clothing and footwear,96,-0.2
Oct-14,Alberta,Transportation,131,2.5
Oct-14,Alberta,Health and personal care,127.3,0.5
Oct-14,Alberta,"Recreation, education and reading",108.4,2.1
Oct-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",144.9,3.2
Oct-14,Alberta,Energy,174.3,8.4
Nov-14,Alberta,All-items,132.1,2
Nov-14,Alberta,Food,136.3,3.9
Nov-14,Alberta,Shelter,162.6,2.6
Nov-14,Alberta,"Household operations, furnishings and equipment",117.1,3.3
Nov-14,Alberta,Clothing and footwear,93.9,-2.1
Nov-14,Alberta,Transportation,128.3,1.2
Nov-14,Alberta,Health and personal care,128.5,1.3
Nov-14,Alberta,"Recreation, education and reading",106.8,0.9
Nov-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",145.2,3.4
Nov-14,Alberta,Energy,157.3,-3.7
Dec-14,Alberta,All-items,131.5,1.9
Dec-14,Alberta,Food,136.4,4
Dec-14,Alberta,Shelter,163.6,3.5
Dec-14,Alberta,"Household operations, furnishings and equipment",116.6,2.9
Dec-14,Alberta,Clothing and footwear,91.5,-0.5
Dec-14,Alberta,Transportation,125.4,-1.6
Dec-14,Alberta,Health and personal care,128.1,0.8
Dec-14,Alberta,"Recreation, education and reading",106.7,1.1
Dec-14,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",145.1,3.8
Dec-14,Alberta,Energy,150.3,-6.9
Jan-15,Alberta,All-items,131,0.8
Jan-15,Alberta,Food,138.2,4.4
Jan-15,Alberta,Shelter,163.9,2.1
Jan-15,Alberta,"Household operations, furnishings and equipment",116.7,2.8
Jan-15,Alberta,Clothing and footwear,91.4,0.6
Jan-15,Alberta,Transportation,122.4,-4.3
Jan-15,Alberta,Health and personal care,128.7,0.9
Jan-15,Alberta,"Recreation, education and reading",105.4,0
Jan-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",145.6,3.6
Jan-15,Alberta,Energy,138.5,-16.7
Feb-15,Alberta,All-items,132,0.9
Feb-15,Alberta,Food,138.3,3.8
Feb-15,Alberta,Shelter,162.6,1.2
Feb-15,Alberta,"Household operations, furnishings and equipment",117.8,3.4
Feb-15,Alberta,Clothing and footwear,93.2,3
Feb-15,Alberta,Transportation,124.3,-4.2
Feb-15,Alberta,Health and personal care,129.2,1.3
Feb-15,Alberta,"Recreation, education and reading",108.8,1.3
Feb-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",146.4,2.9
Feb-15,Alberta,Energy,140.1,-16.9
Mar-15,Alberta,All-items,133,-0.1
Mar-15,Alberta,Food,138.3,3.1
Mar-15,Alberta,Shelter,162.3,-2.5
Mar-15,Alberta,"Household operations, furnishings and equipment",118.1,3.2
Mar-15,Alberta,Clothing and footwear,97.1,0.9
Mar-15,Alberta,Transportation,127.1,-3.6
Mar-15,Alberta,Health and personal care,128.7,1.1
Mar-15,Alberta,"Recreation, education and reading",108.9,1.9
Mar-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",147.2,2.2
Mar-15,Alberta,Energy,142.8,-26.6
Apr-15,Alberta,All-items,133.1,0.7
Apr-15,Alberta,Food,138.3,3.8
Apr-15,Alberta,Shelter,162.1,0.4
Apr-15,Alberta,"Household operations, furnishings and equipment",118.1,2.8
Apr-15,Alberta,Clothing and footwear,96.8,-0.4
Apr-15,Alberta,Transportation,128,-3.1
Apr-15,Alberta,Health and personal care,128.3,-0.1
Apr-15,Alberta,"Recreation, education and reading",108.2,0.8
Apr-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",151.6,4.8
Apr-15,Alberta,Energy,144.2,-18
May-15,Alberta,All-items,133.6,0.6
May-15,Alberta,Food,139.6,3.7
May-15,Alberta,Shelter,160.6,-1
May-15,Alberta,"Household operations, furnishings and equipment",117.8,2.3
May-15,Alberta,Clothing and footwear,96.3,0.9
May-15,Alberta,Transportation,129.1,-2.3
May-15,Alberta,Health and personal care,129.7,0.6
May-15,Alberta,"Recreation, education and reading",111.3,1.7
May-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",152.4,5.2
May-15,Alberta,Energy,141,-20.6
Jun-15,Alberta,All-items,134.5,1.7
Jun-15,Alberta,Food,139.7,3.8
Jun-15,Alberta,Shelter,161.8,1.6
Jun-15,Alberta,"Household operations, furnishings and equipment",119,3.2
Jun-15,Alberta,Clothing and footwear,93.9,-0.3
Jun-15,Alberta,Transportation,131.5,-1.1
Jun-15,Alberta,Health and personal care,129.9,1.2
Jun-15,Alberta,"Recreation, education and reading",112.1,1.6
Jun-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",152.8,5.7
Jun-15,Alberta,Energy,152.7,-9.5
Jul-15,Alberta,All-items,134.6,1.3
Jul-15,Alberta,Food,140,3.7
Jul-15,Alberta,Shelter,163,-0.2
Jul-15,Alberta,"Household operations, furnishings and equipment",119,3.2
Jul-15,Alberta,Clothing and footwear,93.1,0.5
Jul-15,Alberta,Transportation,130.4,-0.7
Jul-15,Alberta,Health and personal care,130,0.9
Jul-15,Alberta,"Recreation, education and reading",112.7,2.2
Jul-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",152.7,5.6
Jul-15,Alberta,Energy,155.9,-13.3
Aug-15,Alberta,All-items,135,1.7
Aug-15,Alberta,Food,140,3.6
Aug-15,Alberta,Shelter,163.6,0.9
Aug-15,Alberta,"Household operations, furnishings and equipment",119.1,2.7
Aug-15,Alberta,Clothing and footwear,93.6,1.2
Aug-15,Alberta,Transportation,131.1,-0.2
Aug-15,Alberta,Health and personal care,130.4,1.7
Aug-15,Alberta,"Recreation, education and reading",113.7,2.6
Aug-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",152.9,5.7
Aug-15,Alberta,Energy,160.8,-7.1
Sep-15,Alberta,All-items,134.6,1.3
Sep-15,Alberta,Food,140.1,3.8
Sep-15,Alberta,Shelter,163.2,0.4
Sep-15,Alberta,"Household operations, furnishings and equipment",119.8,2.9
Sep-15,Alberta,Clothing and footwear,96.9,0.5
Sep-15,Alberta,Transportation,128.1,-1.6
Sep-15,Alberta,Health and personal care,130.2,1.5
Sep-15,Alberta,"Recreation, education and reading",112.8,2.4
Sep-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",153.3,5.9
Sep-15,Alberta,Energy,150.1,-12.6
Oct-15,Alberta,All-items,135.1,1.4
Oct-15,Alberta,Food,140.1,3.9
Oct-15,Alberta,Shelter,164.2,-0.2
Oct-15,Alberta,"Household operations, furnishings and equipment",120,2.6
Oct-15,Alberta,Clothing and footwear,97.4,1.5
Oct-15,Alberta,Transportation,130.3,-0.5
Oct-15,Alberta,Health and personal care,130.1,2.2
Oct-15,Alberta,"Recreation, education and reading",110.7,2.1
Oct-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",153.6,6
Oct-15,Alberta,Energy,152.9,-12.3
Nov-15,Alberta,All-items,134.7,2
Nov-15,Alberta,Food,140.9,3.4
Nov-15,Alberta,Shelter,163.6,0.6
Nov-15,Alberta,"Household operations, furnishings and equipment",119.6,2.1
Nov-15,Alberta,Clothing and footwear,96.8,3.1
Nov-15,Alberta,Transportation,129.1,0.6
Nov-15,Alberta,Health and personal care,131.8,2.6
Nov-15,Alberta,"Recreation, education and reading",109.3,2.3
Nov-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",157.3,8.3
Nov-15,Alberta,Energy,144.5,-8.1
Dec-15,Alberta,All-items,133.5,1.5
Dec-15,Alberta,Food,141.5,3.7
Dec-15,Alberta,Shelter,163.4,-0.1
Dec-15,Alberta,"Household operations, furnishings and equipment",118.9,2
Dec-15,Alberta,Clothing and footwear,91.8,0.3
Dec-15,Alberta,Transportation,126.9,1.2
Dec-15,Alberta,Health and personal care,131.3,2.5
Dec-15,Alberta,"Recreation, education and reading",107.8,1
Dec-15,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",157.7,8.7
Dec-15,Alberta,Energy,135.4,-9.9
Jan-16,Alberta,All-items,133.7,2.1
Jan-16,Alberta,Food,143.7,4
Jan-16,Alberta,Shelter,163.1,-0.5
Jan-16,Alberta,"Household operations, furnishings and equipment",119.6,2.5
Jan-16,Alberta,Clothing and footwear,90.9,-0.5
Jan-16,Alberta,Transportation,126.7,3.5
Jan-16,Alberta,Health and personal care,132.1,2.6
Jan-16,Alberta,"Recreation, education and reading",107.2,1.7
Jan-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",158.2,8.7
Jan-16,Alberta,Energy,129.1,-6.8
Feb-16,Alberta,All-items,133.8,1.4
Feb-16,Alberta,Food,142.7,3.2
Feb-16,Alberta,Shelter,163.7,0.7
Feb-16,Alberta,"Household operations, furnishings and equipment",120.9,2.6
Feb-16,Alberta,Clothing and footwear,91.1,-2.3
Feb-16,Alberta,Transportation,124.8,0.4
Feb-16,Alberta,Health and personal care,131.6,1.9
Feb-16,Alberta,"Recreation, education and reading",109.3,0.5
Feb-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",159.7,9.1
Feb-16,Alberta,Energy,123.7,-11.7
Mar-16,Alberta,All-items,135,1.5
Mar-16,Alberta,Food,142.2,2.8
Mar-16,Alberta,Shelter,162.7,0.2
Mar-16,Alberta,"Household operations, furnishings and equipment",121.3,2.7
Mar-16,Alberta,Clothing and footwear,95.5,-1.6
Mar-16,Alberta,Transportation,128.7,1.3
Mar-16,Alberta,Health and personal care,131.7,2.3
Mar-16,Alberta,"Recreation, education and reading",110.5,1.5
Mar-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",159.7,8.5
Mar-16,Alberta,Energy,131.8,-7.7
Apr-16,Alberta,All-items,135.1,1.5
Apr-16,Alberta,Food,142.3,2.9
Apr-16,Alberta,Shelter,160.8,-0.8
Apr-16,Alberta,"Household operations, furnishings and equipment",121.5,2.9
Apr-16,Alberta,Clothing and footwear,96,-0.8
Apr-16,Alberta,Transportation,130.6,2
Apr-16,Alberta,Health and personal care,131.6,2.6
Apr-16,Alberta,"Recreation, education and reading",110.5,2.1
Apr-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",160,5.5
Apr-16,Alberta,Energy,128.9,-10.6
May-16,Alberta,All-items,135.6,1.5
May-16,Alberta,Food,142.4,2
May-16,Alberta,Shelter,160.4,-0.1
May-16,Alberta,"Household operations, furnishings and equipment",122.1,3.7
May-16,Alberta,Clothing and footwear,95.9,-0.4
May-16,Alberta,Transportation,132.2,2.4
May-16,Alberta,Health and personal care,132,1.8
May-16,Alberta,"Recreation, education and reading",111.3,0
May-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",160.1,5.1
May-16,Alberta,Energy,133,-5.7
Jun-16,Alberta,All-items,136.3,1.3
Jun-16,Alberta,Food,142.3,1.9
Jun-16,Alberta,Shelter,161.2,-0.4
Jun-16,Alberta,"Household operations, furnishings and equipment",122.3,2.8
Jun-16,Alberta,Clothing and footwear,93.5,-0.4
Jun-16,Alberta,Transportation,135.6,3.1
Jun-16,Alberta,Health and personal care,132.2,1.8
Jun-16,Alberta,"Recreation, education and reading",111.4,-0.6
Jun-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",160.5,5
Jun-16,Alberta,Energy,144.6,-5.3
Jul-16,Alberta,All-items,135.6,0.7
Jul-16,Alberta,Food,142.6,1.9
Jul-16,Alberta,Shelter,162.5,-0.3
Jul-16,Alberta,"Household operations, furnishings and equipment",121.7,2.3
Jul-16,Alberta,Clothing and footwear,91.6,-1.6
Jul-16,Alberta,Transportation,131.3,0.7
Jul-16,Alberta,Health and personal care,132,1.5
Jul-16,Alberta,"Recreation, education and reading",112.2,-0.4
Jul-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",160.9,5.4
Jul-16,Alberta,Energy,139.5,-10.5
Aug-16,Alberta,All-items,135.9,0.7
Aug-16,Alberta,Food,143.2,2.3
Aug-16,Alberta,Shelter,163.1,-0.3
Aug-16,Alberta,"Household operations, furnishings and equipment",121.8,2.3
Aug-16,Alberta,Clothing and footwear,91.6,-2.1
Aug-16,Alberta,Transportation,131.5,0.3
Aug-16,Alberta,Health and personal care,133.3,2.2
Aug-16,Alberta,"Recreation, education and reading",112.2,-1.3
Aug-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",161,5.3
Aug-16,Alberta,Energy,143.5,-10.8
Sep-16,Alberta,All-items,135.3,0.5
Sep-16,Alberta,Food,139.6,-0.4
Sep-16,Alberta,Shelter,162.3,-0.6
Sep-16,Alberta,"Household operations, furnishings and equipment",120.7,0.8
Sep-16,Alberta,Clothing and footwear,96.4,-0.5
Sep-16,Alberta,Transportation,130.9,2.2
Sep-16,Alberta,Health and personal care,132,1.4
Sep-16,Alberta,"Recreation, education and reading",112.5,-0.3
Sep-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",161.4,5.3
Sep-16,Alberta,Energy,139,-7.4
Oct-16,Alberta,All-items,135.8,0.5
Oct-16,Alberta,Food,138.4,-1.2
Oct-16,Alberta,Shelter,163.3,-0.5
Oct-16,Alberta,"Household operations, furnishings and equipment",121.6,1.3
Oct-16,Alberta,Clothing and footwear,98,0.6
Oct-16,Alberta,Transportation,132.4,1.6
Oct-16,Alberta,Health and personal care,132.1,1.5
Oct-16,Alberta,"Recreation, education and reading",111.6,0.8
Oct-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",161.5,5.1
Oct-16,Alberta,Energy,142.9,-6.5
Nov-16,Alberta,All-items,135,0.2
Nov-16,Alberta,Food,139.3,-1.1
Nov-16,Alberta,Shelter,163.5,-0.1
Nov-16,Alberta,"Household operations, furnishings and equipment",121,1.2
Nov-16,Alberta,Clothing and footwear,94.7,-2.2
Nov-16,Alberta,Transportation,129.8,0.5
Nov-16,Alberta,Health and personal care,132,0.2
Nov-16,Alberta,"Recreation, education and reading",111.1,1.6
Nov-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",161.6,2.7
Nov-16,Alberta,Energy,135.7,-6.1
Dec-16,Alberta,All-items,134.9,1
Dec-16,Alberta,Food,139.8,-1.2
Dec-16,Alberta,Shelter,163,-0.2
Dec-16,Alberta,"Household operations, furnishings and equipment",121,1.8
Dec-16,Alberta,Clothing and footwear,91.7,-0.1
Dec-16,Alberta,Transportation,131.2,3.4
Dec-16,Alberta,Health and personal care,132.5,0.9
Dec-16,Alberta,"Recreation, education and reading",110.5,2.5
Dec-16,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",161.5,2.4
Dec-16,Alberta,Energy,137.4,1.5
Jan-17,Alberta,All-items,137,2.5
Jan-17,Alberta,Food,139.9,-2.6
Jan-17,Alberta,Shelter,166.3,2
Jan-17,Alberta,"Household operations, furnishings and equipment",120.9,1.1
Jan-17,Alberta,Clothing and footwear,91.5,0.7
Jan-17,Alberta,Transportation,136.5,7.7
Jan-17,Alberta,Health and personal care,133.3,0.9
Jan-17,Alberta,"Recreation, education and reading",112.2,4.7
Jan-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",162.3,2.6
Jan-17,Alberta,Energy,159.5,23.5
Feb-17,Alberta,All-items,136.7,2.2
Feb-17,Alberta,Food,140.6,-1.5
Feb-17,Alberta,Shelter,164.6,0.5
Feb-17,Alberta,"Household operations, furnishings and equipment",120.8,-0.1
Feb-17,Alberta,Clothing and footwear,92.9,2
Feb-17,Alberta,Transportation,134.3,7.6
Feb-17,Alberta,Health and personal care,132.8,0.9
Feb-17,Alberta,"Recreation, education and reading",114.6,4.8
Feb-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",163,2.1
Feb-17,Alberta,Energy,146.1,18.1
Mar-17,Alberta,All-items,136.8,1.3
Mar-17,Alberta,Food,141.2,-0.7
Mar-17,Alberta,Shelter,163.6,0.6
Mar-17,Alberta,"Household operations, furnishings and equipment",120.8,-0.4
Mar-17,Alberta,Clothing and footwear,95.7,0.2
Mar-17,Alberta,Transportation,133.5,3.7
Mar-17,Alberta,Health and personal care,133.6,1.4
Mar-17,Alberta,"Recreation, education and reading",115.4,4.4
Mar-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",163.4,2.3
Mar-17,Alberta,Energy,141.8,7.6
Apr-17,Alberta,All-items,137.4,1.7
Apr-17,Alberta,Food,140.4,-1.3
Apr-17,Alberta,Shelter,164.5,2.3
Apr-17,Alberta,"Household operations, furnishings and equipment",121.3,-0.2
Apr-17,Alberta,Clothing and footwear,96.2,0.2
Apr-17,Alberta,Transportation,136,4.1
Apr-17,Alberta,Health and personal care,133.2,1.2
Apr-17,Alberta,"Recreation, education and reading",114.6,3.7
Apr-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",163.6,2.2
Apr-17,Alberta,Energy,154.1,19.6
May-17,Alberta,All-items,137.2,1.2
May-17,Alberta,Food,142,-0.3
May-17,Alberta,Shelter,163.6,2
May-17,Alberta,"Household operations, furnishings and equipment",122.5,0.3
May-17,Alberta,Clothing and footwear,95.9,0
May-17,Alberta,Transportation,134.4,1.7
May-17,Alberta,Health and personal care,133.5,1.1
May-17,Alberta,"Recreation, education and reading",114.2,2.6
May-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",163.9,2.4
May-17,Alberta,Energy,145.4,9.3
Jun-17,Alberta,All-items,136.9,0.4
Jun-17,Alberta,Food,142.3,0
Jun-17,Alberta,Shelter,163.1,1.2
Jun-17,Alberta,"Household operations, furnishings and equipment",122.7,0.3
Jun-17,Alberta,Clothing and footwear,93.7,0.2
Jun-17,Alberta,Transportation,133.5,-1.5
Jun-17,Alberta,Health and personal care,133,0.6
Jun-17,Alberta,"Recreation, education and reading",114.6,2.9
Jun-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",164.4,2.4
Jun-17,Alberta,Energy,142,-1.8
Jul-17,Alberta,All-items,137,1
Jul-17,Alberta,Food,142.8,0.1
Jul-17,Alberta,Shelter,164.2,1
Jul-17,Alberta,"Household operations, furnishings and equipment",121.5,-0.2
Jul-17,Alberta,Clothing and footwear,93.9,2.5
Jul-17,Alberta,Transportation,132.9,1.2
Jul-17,Alberta,Health and personal care,134.1,1.6
Jul-17,Alberta,"Recreation, education and reading",114.9,2.4
Jul-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",164.8,2.4
Jul-17,Alberta,Energy,145.8,4.5
Aug-17,Alberta,All-items,137.4,1.1
Aug-17,Alberta,Food,143.1,-0.1
Aug-17,Alberta,Shelter,164.9,1.1
Aug-17,Alberta,"Household operations, furnishings and equipment",121.7,-0.1
Aug-17,Alberta,Clothing and footwear,94.5,3.2
Aug-17,Alberta,Transportation,133.4,1.4
Aug-17,Alberta,Health and personal care,135.3,1.5
Aug-17,Alberta,"Recreation, education and reading",114.2,1.8
Aug-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",165.2,2.6
Aug-17,Alberta,Energy,150.7,5
Sep-17,Alberta,All-items,137,1.3
Sep-17,Alberta,Food,142.1,1.8
Sep-17,Alberta,Shelter,163.8,0.9
Sep-17,Alberta,"Household operations, furnishings and equipment",121,0.2
Sep-17,Alberta,Clothing and footwear,96.6,0.2
Sep-17,Alberta,Transportation,133.6,2.1
Sep-17,Alberta,Health and personal care,134.2,1.7
Sep-17,Alberta,"Recreation, education and reading",113.7,1.1
Sep-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",165.6,2.6
Sep-17,Alberta,Energy,147.9,6.4
Oct-17,Alberta,All-items,137.6,1.3
Oct-17,Alberta,Food,141.3,2.1
Oct-17,Alberta,Shelter,164.9,1
Oct-17,Alberta,"Household operations, furnishings and equipment",122.4,0.7
Oct-17,Alberta,Clothing and footwear,97.7,-0.3
Oct-17,Alberta,Transportation,135.1,2
Oct-17,Alberta,Health and personal care,135.9,2.9
Oct-17,Alberta,"Recreation, education and reading",112.4,0.7
Oct-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",165.6,2.5
Oct-17,Alberta,Energy,149.4,4.5
Nov-17,Alberta,All-items,138.4,2.5
Nov-17,Alberta,Food,142.6,2.4
Nov-17,Alberta,Shelter,165.1,1
Nov-17,Alberta,"Household operations, furnishings and equipment",122.8,1.5
Nov-17,Alberta,Clothing and footwear,96.9,2.3
Nov-17,Alberta,Transportation,138.6,6.8
Nov-17,Alberta,Health and personal care,135.2,2.4
Nov-17,Alberta,"Recreation, education and reading",111.6,0.5
Nov-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",165.9,2.7
Nov-17,Alberta,Energy,159.4,17.5
Dec-17,Alberta,All-items,137.6,2
Dec-17,Alberta,Food,142.2,1.7
Dec-17,Alberta,Shelter,166.1,1.9
Dec-17,Alberta,"Household operations, furnishings and equipment",120.2,-0.7
Dec-17,Alberta,Clothing and footwear,94.2,2.7
Dec-17,Alberta,Transportation,138,5.2
Dec-17,Alberta,Health and personal care,135.5,2.3
Dec-17,Alberta,"Recreation, education and reading",109.9,-0.5
Dec-17,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",165.8,2.7
Dec-17,Alberta,Energy,156.2,13.7
Jan-18,Alberta,All-items,138.9,1.4
Jan-18,Alberta,Food,143.7,2.7
Jan-18,Alberta,Shelter,167.1,0.5
Jan-18,Alberta,"Household operations, furnishings and equipment",121.3,0.3
Jan-18,Alberta,Clothing and footwear,92.7,1.3
Jan-18,Alberta,Transportation,140.2,2.7
Jan-18,Alberta,Health and personal care,137,2.8
Jan-18,Alberta,"Recreation, education and reading",111.7,-0.4
Jan-18,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",166.3,2.5
Jan-18,Alberta,Energy,164.3,3
Feb-18,Alberta,All-items,139.7,2.2
Feb-18,Alberta,Food,143,1.7
Feb-18,Alberta,Shelter,167.7,1.9
Feb-18,Alberta,"Household operations, furnishings and equipment",122.2,1.2
Feb-18,Alberta,Clothing and footwear,95.3,2.6
Feb-18,Alberta,Transportation,140.3,4.5
Feb-18,Alberta,Health and personal care,136.4,2.7
Feb-18,Alberta,"Recreation, education and reading",114.8,0.2
Feb-18,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",168.1,3.1
Feb-18,Alberta,Energy,164,12.3
Mar-18,Alberta,All-items,139.9,2.3
Mar-18,Alberta,Food,143.1,1.3
Mar-18,Alberta,Shelter,166.6,1.8
Mar-18,Alberta,"Household operations, furnishings and equipment",122,1
Mar-18,Alberta,Clothing and footwear,96.8,1.1
Mar-18,Alberta,Transportation,141.3,5.8
Mar-18,Alberta,Health and personal care,136.9,2.5
Mar-18,Alberta,"Recreation, education and reading",114.9,-0.4
Mar-18,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",169,3.4
Mar-18,Alberta,Energy,164.5,16
Apr-18,Alberta,All-items,140.6,2.3
Apr-18,Alberta,Food,142.7,1.6
Apr-18,Alberta,Shelter,168.5,2.4
Apr-18,Alberta,"Household operations, furnishings and equipment",123.4,1.7
Apr-18,Alberta,Clothing and footwear,98,1.9
Apr-18,Alberta,Transportation,143.2,5.3
Apr-18,Alberta,Health and personal care,136.1,2.2
