REF_DATE,GEO,Products_and_product_groups,VALUE,Percent_Change
Jun-07,Alberta,Clothing and footwear,99.2,
Jun-07,Alberta,Transportation,122.7,
Jun-07,Alberta,Health and personal care,108.6,
Jun-07,Alberta,"Recreation, education and reading",104.7,
Jun-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",125.8,
Jun-07,Alberta,Energy,159.2,
Jul-07,Alberta,All-items,119.1,5
Jul-07,Alberta,Food,112.4,3.8
Jul-07,Alberta,Shelter,140.6,11.5
Jul-07,Alberta,"Household operations, furnishings and equipment",104.7,2
Jul-07,Alberta,Clothing and footwear,99.2,3.1
Jul-07,Alberta,Transportation,122.4,1.3
Jul-07,Alberta,Health and personal care,108.4,2.4
Jul-07,Alberta,"Recreation, education and reading",105.9,1.8
Jul-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",125.7,8.5
Jul-07,Alberta,Energy,160.8,4.2
Aug-07,Alberta,All-items,119.3,4.7
Aug-07,Alberta,Food,112,3.2
Aug-07,Alberta,Shelter,143.8,13.9
Aug-07,Alberta,"Household operations, furnishings and equipment",104.9,1.8
Aug-07,Alberta,Clothing and footwear,99,0.4
Aug-07,Alberta,Transportation,119.8,-1.5
Aug-07,Alberta,Health and personal care,108.9,2.3
Aug-07,Alberta,"Recreation, education and reading",105.9,2.1
Aug-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",125.1,7.6
Aug-07,Alberta,Energy,161.7,4.9
Sep-07,Alberta,All-items,119.4,4.6
Sep-07,Alberta,Food,111.2,2
Sep-07,Alberta,Shelter,143.1,9.1
Sep-07,Alberta,"Household operations, furnishings and equipment",104.8,1.1
Sep-07,Alberta,Clothing and footwear,101.3,-0.6
Sep-07,Alberta,Transportation,121,4.9
Sep-07,Alberta,Health and personal care,109.6,2.4
Sep-07,Alberta,"Recreation, education and reading",105.9,3
Sep-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",125.7,7.9
Sep-07,Alberta,Energy,158.3,8.7
Oct-07,Alberta,All-items,118.6,5
Oct-07,Alberta,Food,110.6,1.3
Oct-07,Alberta,Shelter,144.5,11.4
Oct-07,Alberta,"Household operations, furnishings and equipment",104.4,1.5
Oct-07,Alberta,Clothing and footwear,99.4,-1.5
Oct-07,Alberta,Transportation,117.3,3.5
Oct-07,Alberta,Health and personal care,109.2,2.2
Oct-07,Alberta,"Recreation, education and reading",104.9,3.5
Oct-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",125.6,7.5
Oct-07,Alberta,Energy,150.8,15.1
Nov-07,Alberta,All-items,119.1,4.7
Nov-07,Alberta,Food,110.5,0.6
Nov-07,Alberta,Shelter,145.3,10.2
Nov-07,Alberta,"Household operations, furnishings and equipment",104.4,1.4
Nov-07,Alberta,Clothing and footwear,100,-0.9
Nov-07,Alberta,Transportation,118.9,4.5
Nov-07,Alberta,Health and personal care,109.6,2
Nov-07,Alberta,"Recreation, education and reading",104.3,3.3
Nov-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",126.1,7.3
Nov-07,Alberta,Energy,154.1,14
Dec-07,Alberta,All-items,118.9,4.1
Dec-07,Alberta,Food,110.4,0.3
Dec-07,Alberta,Shelter,145.4,8.8
Dec-07,Alberta,"Household operations, furnishings and equipment",104.9,1.9
Dec-07,Alberta,Clothing and footwear,96.9,-0.1
Dec-07,Alberta,Transportation,119.2,3.9
Dec-07,Alberta,Health and personal care,109.6,2.4
Dec-07,Alberta,"Recreation, education and reading",103.6,2.6
Dec-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",126,6.1
Dec-07,Alberta,Energy,153,9.8
Jan-08,Alberta,All-items,118.8,3.6
Jan-08,Alberta,Food,111.1,0.4
Jan-08,Alberta,Shelter,146,8.7
Jan-08,Alberta,"Household operations, furnishings and equipment",104.2,1
Jan-08,Alberta,Clothing and footwear,96.5,-1.6
Jan-08,Alberta,Transportation,119.3,3.8
Jan-08,Alberta,Health and personal care,109.4,2.1
Jan-08,Alberta,"Recreation, education and reading",101.8,0.6
Jan-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",126.1,5.4
Jan-08,Alberta,Energy,155.3,10.1
Feb-08,Alberta,All-items,119,3.5
Feb-08,Alberta,Food,111.6,0
Feb-08,Alberta,Shelter,146.4,9.4
Feb-08,Alberta,"Household operations, furnishings and equipment",103.9,-0.1
Feb-08,Alberta,Clothing and footwear,96.3,-3.3
Feb-08,Alberta,Transportation,118.6,3
Feb-08,Alberta,Health and personal care,109.5,1.6
Feb-08,Alberta,"Recreation, education and reading",102.7,0.8
Feb-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",127.1,6.4
Feb-08,Alberta,Energy,155.2,13
Mar-08,Alberta,All-items,119.8,2.9
Mar-08,Alberta,Food,111.6,0.2
Mar-08,Alberta,Shelter,147.9,8.9
Mar-08,Alberta,"Household operations, furnishings and equipment",104.2,0.5
Mar-08,Alberta,Clothing and footwear,99.4,-2.4
Mar-08,Alberta,Transportation,119.6,0.5
Mar-08,Alberta,Health and personal care,109.2,1.9
Mar-08,Alberta,"Recreation, education and reading",103.4,1.2
Mar-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",126.9,6
Mar-08,Alberta,Energy,162.6,8.5
Apr-08,Alberta,All-items,121.3,3.2
Apr-08,Alberta,Food,112.8,0.7
Apr-08,Alberta,Shelter,150.9,9.3
Apr-08,Alberta,"Household operations, furnishings and equipment",104.7,0.6
Apr-08,Alberta,Clothing and footwear,97,-4.9
Apr-08,Alberta,Transportation,122.4,1.6
Apr-08,Alberta,Health and personal care,110.4,1.9
Apr-08,Alberta,"Recreation, education and reading",104,1.6
Apr-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",126.9,4.8
Apr-08,Alberta,Energy,176.7,12.4
May-08,Alberta,All-items,122.2,3.7
May-08,Alberta,Food,113.8,1.7
May-08,Alberta,Shelter,151.6,11.6
May-08,Alberta,"Household operations, furnishings and equipment",104.2,0.3
May-08,Alberta,Clothing and footwear,96.2,-3.5
May-08,Alberta,Transportation,125.2,1.3
May-08,Alberta,Health and personal care,110.4,1.7
May-08,Alberta,"Recreation, education and reading",105.1,0.8
May-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",127,1.8
May-08,Alberta,Energy,184.6,20.8
Jun-08,Alberta,All-items,124,4.4
Jun-08,Alberta,Food,114.8,2.2
Jun-08,Alberta,Shelter,156,11.4
Jun-08,Alberta,"Household operations, furnishings and equipment",104.4,-0.1
Jun-08,Alberta,Clothing and footwear,96.1,-3.1
Jun-08,Alberta,Transportation,127.4,3.8
Jun-08,Alberta,Health and personal care,111.2,2.4
Jun-08,Alberta,"Recreation, education and reading",105.4,0.7
Jun-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",127.7,1.5
Jun-08,Alberta,Energy,204.6,28.5
Jul-08,Alberta,All-items,123.3,3.5
Jul-08,Alberta,Food,115.4,2.7
Jul-08,Alberta,Shelter,152.8,8.7
Jul-08,Alberta,"Household operations, furnishings and equipment",104.5,-0.2
Jul-08,Alberta,Clothing and footwear,97.3,-1.9
Jul-08,Alberta,Transportation,126.9,3.7
Jul-08,Alberta,Health and personal care,111.2,2.6
Jul-08,Alberta,"Recreation, education and reading",105.6,-0.3
Jul-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",127.5,1.4
Jul-08,Alberta,Energy,194.5,21
Aug-08,Alberta,All-items,124.1,4
Aug-08,Alberta,Food,116.6,4.1
Aug-08,Alberta,Shelter,156.9,9.1
Aug-08,Alberta,"Household operations, furnishings and equipment",104.5,-0.4
Aug-08,Alberta,Clothing and footwear,98.1,-0.9
Aug-08,Alberta,Transportation,125,4.3
Aug-08,Alberta,Health and personal care,111.2,2.1
Aug-08,Alberta,"Recreation, education and reading",105.4,-0.5
Aug-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",127.9,2.2
Aug-08,Alberta,Energy,201.6,24.7
Sep-08,Alberta,All-items,122.8,2.8
Sep-08,Alberta,Food,116.8,5
Sep-08,Alberta,Shelter,150,4.8
Sep-08,Alberta,"Household operations, furnishings and equipment",106.4,1.5
Sep-08,Alberta,Clothing and footwear,98.6,-2.7
Sep-08,Alberta,Transportation,124.4,2.8
Sep-08,Alberta,Health and personal care,111.8,2
Sep-08,Alberta,"Recreation, education and reading",105.8,-0.1
Sep-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",128.2,2
Sep-08,Alberta,Energy,179.7,13.5
Oct-08,Alberta,All-items,121.5,2.4
Oct-08,Alberta,Food,116.7,5.5
Oct-08,Alberta,Shelter,149.7,3.6
Oct-08,Alberta,"Household operations, furnishings and equipment",105.6,1.1
Oct-08,Alberta,Clothing and footwear,97.5,-1.9
Oct-08,Alberta,Transportation,119.5,1.9
Oct-08,Alberta,Health and personal care,112,2.6
Oct-08,Alberta,"Recreation, education and reading",104.7,-0.2
Oct-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",128.8,2.5
Oct-08,Alberta,Energy,161.3,7
Nov-08,Alberta,All-items,121.6,2.1
Nov-08,Alberta,Food,118.6,7.3
Nov-08,Alberta,Shelter,151.6,4.3
Nov-08,Alberta,"Household operations, furnishings and equipment",106,1.5
Nov-08,Alberta,Clothing and footwear,96.9,-3.1
Nov-08,Alberta,Transportation,116.8,-1.8
Nov-08,Alberta,Health and personal care,112.2,2.4
Nov-08,Alberta,"Recreation, education and reading",103.6,-0.7
Nov-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",129.1,2.4
Nov-08,Alberta,Energy,148.7,-3.5
Dec-08,Alberta,All-items,121.2,1.9
Dec-08,Alberta,Food,119.6,8.3
Dec-08,Alberta,Shelter,153,5.2
Dec-08,Alberta,"Household operations, furnishings and equipment",105.4,0.5
Dec-08,Alberta,Clothing and footwear,95.2,-1.8
Dec-08,Alberta,Transportation,113.5,-4.8
Dec-08,Alberta,Health and personal care,111.9,2.1
Dec-08,Alberta,"Recreation, education and reading",103.1,-0.5
Dec-08,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",128.9,2.3
Dec-08,Alberta,Energy,142.7,-6.7
Jan-09,Alberta,All-items,120.2,1.2
Jan-09,Alberta,Food,119.8,7.8
Jan-09,Alberta,Shelter,150.3,2.9
Jan-09,Alberta,"Household operations, furnishings and equipment",105.6,1.3
Jan-09,Alberta,Clothing and footwear,96.9,0.4
Jan-09,Alberta,Transportation,111.7,-6.4
Jan-09,Alberta,Health and personal care,112.5,2.8
Jan-09,Alberta,"Recreation, education and reading",101.8,0
Jan-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",129.2,2.5
Jan-09,Alberta,Energy,135.7,-12.6
Feb-09,Alberta,All-items,121.5,2.1
Feb-09,Alberta,Food,120.2,7.7
Feb-09,Alberta,Shelter,151.8,3.7
Feb-09,Alberta,"Household operations, furnishings and equipment",107.2,3.2
Feb-09,Alberta,Clothing and footwear,97.8,1.6
Feb-09,Alberta,Transportation,114,-3.9
Feb-09,Alberta,Health and personal care,112.4,2.6
Feb-09,Alberta,"Recreation, education and reading",103,0.3
Feb-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",128.7,1.3
Feb-09,Alberta,Energy,146.5,-5.6
Mar-09,Alberta,All-items,120.9,0.9
Mar-09,Alberta,Food,120.9,8.3
Mar-09,Alberta,Shelter,148.6,0.5
Mar-09,Alberta,"Household operations, furnishings and equipment",107.3,3
Mar-09,Alberta,Clothing and footwear,99.1,-0.3
Mar-09,Alberta,Transportation,113.7,-4.9
Mar-09,Alberta,Health and personal care,112.2,2.7
Mar-09,Alberta,"Recreation, education and reading",103.4,0
Mar-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",128.7,1.4
Mar-09,Alberta,Energy,137.4,-15.5
Apr-09,Alberta,All-items,120.4,-0.7
Apr-09,Alberta,Food,120.6,6.9
Apr-09,Alberta,Shelter,146.3,-3
Apr-09,Alberta,"Household operations, furnishings and equipment",107.2,2.4
Apr-09,Alberta,Clothing and footwear,97.7,0.7
Apr-09,Alberta,Transportation,113.7,-7.1
Apr-09,Alberta,Health and personal care,113.9,3.2
Apr-09,Alberta,"Recreation, education and reading",104.1,0.1
Apr-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",128.2,1
Apr-09,Alberta,Energy,131.2,-25.7
May-09,Alberta,All-items,121.4,-0.7
May-09,Alberta,Food,121.3,6.6
May-09,Alberta,Shelter,145.8,-3.8
May-09,Alberta,"Household operations, furnishings and equipment",107.8,3.5
May-09,Alberta,Clothing and footwear,96.2,0
May-09,Alberta,Transportation,116.1,-7.3
May-09,Alberta,Health and personal care,114.2,3.4
May-09,Alberta,"Recreation, education and reading",106.2,1
May-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",135.5,6.7
May-09,Alberta,Energy,133.5,-27.7
Jun-09,Alberta,All-items,122,-1.6
Jun-09,Alberta,Food,120.8,5.2
Jun-09,Alberta,Shelter,146.2,-6.3
Jun-09,Alberta,"Household operations, furnishings and equipment",107.6,3.1
Jun-09,Alberta,Clothing and footwear,96,-0.1
Jun-09,Alberta,Transportation,119,-6.6
Jun-09,Alberta,Health and personal care,115.2,3.6
Jun-09,Alberta,"Recreation, education and reading",106.3,0.9
Jun-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",135.8,6.3
Jun-09,Alberta,Energy,141.4,-30.9
Jul-09,Alberta,All-items,121.5,-1.5
Jul-09,Alberta,Food,121.2,5
Jul-09,Alberta,Shelter,146.1,-4.4
Jul-09,Alberta,"Household operations, furnishings and equipment",107.6,3
Jul-09,Alberta,Clothing and footwear,94.4,-3
Jul-09,Alberta,Transportation,116.7,-8
Jul-09,Alberta,Health and personal care,115.2,3.6
Jul-09,Alberta,"Recreation, education and reading",106.6,0.9
Jul-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",134.7,5.6
Jul-09,Alberta,Energy,137.4,-29.4
Aug-09,Alberta,All-items,122,-1.7
Aug-09,Alberta,Food,120.8,3.6
